Date,INFY,MARUTI,RELIANCE,SUNPHARMA,TCS,BPCL
26-07-2012,265.475006,1108.550049,351.740845,311.325012,599.224976,120.083336
27-07-2012,268.581238,1112.949951,357.114899,316.225006,612.650024,118.5
30-07-2012,276.212494,1119.900024,361.374542,322.75,615.5,122.199997
31-07-2012,278.368744,1134.849976,368.308807,326.799988,621.825012,121.099998
01-08-2012,277.318756,1125.599976,369.869019,329.924988,612.325012,120.050003
02-08-2012,275.71875,1125.349976,366.302826,327.950012,616.400024,118.183334
03-08-2012,276.0625,1120.849976,367.788727,329.975006,618.450012,117.666664
06-08-2012,277.100006,1137.650024,389.334503,335.700012,614.450012,114.800003
07-08-2012,281.662506,1146.949951,388.195282,334.850006,632.025024,113.783333
08-08-2012,285.450012,1140.099976,391.687195,336.75,624.599976,117.216667
09-08-2012,285.256256,1144.800049,386.412201,338.174988,629.075012,113.433334
10-08-2012,289.131256,1165.800049,387.378052,337.725006,640.025024,117.516663
13-08-2012,290.012512,1184.949951,390.374634,341,633.150024,116.883331
14-08-2012,291.168762,1184.900024,396.021118,333.649994,634.200012,115.48333
16-08-2012,289.431244,1172.599976,404.243164,331.225006,631.775024,114.616669
17-08-2012,293.881256,1177.550049,404.218414,330.524994,639.299988,113.533333
21-08-2012,301.125,1187.900024,403.302094,332.875,649.325012,112.916664
22-08-2012,304.200012,1183.150024,400.107391,332.100006,645.825012,116.300003
23-08-2012,309.649994,1181,393.519836,334.149994,661.724976,117.050003
24-08-2012,305.600006,1190.300049,387.378052,332.799988,661.424988,118.183334
27-08-2012,301.487488,1167.800049,389.978394,334.975006,660.224976,118
28-08-2012,302.643738,1164.449951,391.390015,340.674988,675.450012,118.083336
29-08-2012,298.537506,1167.800049,387.402802,338.049988,671.650024,117.383331
30-08-2012,299.087494,1143.599976,388.021942,336.024994,683.575012,116
31-08-2012,295.206238,1143.300049,379.601746,334.200012,671.875,111.616669
03-09-2012,295.637512,1162.5,377.942474,333.399994,668.924988,113.633331
04-09-2012,295.100006,1174.650024,386.139771,330.850006,670.424988,115.650002
05-09-2012,292.431244,1174.5,381.954468,325.200012,682.25,115.150002
06-09-2012,302.75,1183.449951,380.493317,325.75,687.799988,115.766663
07-09-2012,310.90625,1205,392.157745,332.299988,693.349976,115.033333
08-09-2012,null,null,null,null,null,null
10-09-2012,314.043762,1206.099976,392.306335,341.774994,685.724976,114.166664
11-09-2012,316.1875,1213.849976,391.786255,342.524994,696.325012,116.400002
12-09-2012,317.462494,1220.199951,395.302917,340.799988,707.450012,115.849998
13-09-2012,319.381256,1210.599976,395.822998,338.299988,708.849976,118.23333
14-09-2012,329.012512,1261.099976,416.922974,339.075012,706.549988,116.73333
17-09-2012,320.5625,1279.300049,432.772736,336.450012,671.049988,112.916664
18-09-2012,325.100006,1275.949951,423.782959,336.899994,649.900024,112.48333
20-09-2012,327.149994,1282.900024,412.3414,335.5,661,115.099998
21-09-2012,324.162506,1311.75,421.157837,334.75,652.025024,115.766663
24-09-2012,325.018738,1354.650024,414.248352,339.725006,644.724976,114.949997
25-09-2012,324.756256,1321.699951,415.932373,338.125,646.599976,116.449997
26-09-2012,323.662506,1312.099976,418.408905,337.850006,642.799988,117.283333
27-09-2012,318.668762,1331.050049,411.02887,338.725006,635.775024,115.616669
28-09-2012,316.868744,1350.599976,414.669342,347.774994,647.950012,116.23333
01-10-2012,326.206238,1358,412.836731,346.575012,651.474976,117.166664
03-10-2012,322.28125,1363.449951,419.077576,348.850006,661.325012,116.016663
04-10-2012,321.956238,1390.5,422.445648,349.375,658.575012,119.949997
05-10-2012,315.856262,1387.699951,424.87262,341.274994,652,118.833336
08-10-2012,311.024994,1385.449951,405.852905,354.325012,646.349976,118.449997
09-10-2012,317.03125,1392.599976,403.822174,361.75,647.424988,119.133331
10-10-2012,313.018738,1378.949951,404.168884,360.575012,644.674988,117.23333
11-10-2012,316.649994,1369.199951,406.125336,360.024994,644.724976,117.599998
12-10-2012,299.418762,1372.050049,405.605255,356.625,649.224976,117.050003
15-10-2012,295.700012,1338.25,407.660797,357.399994,647.325012,116.616669
16-10-2012,294.462494,1367.050049,402.410553,359.100006,647.950012,115.166664
17-10-2012,296.268738,1368.150024,398.79483,355.75,641.575012,114.816666
18-10-2012,297.200012,1378.75,401.840942,349.899994,653.674988,115.683334
19-10-2012,297.918762,1369.25,397.630859,347.399994,644.849976,113.216667
22-10-2012,298.193756,1369.849976,403.970764,349.549988,659.450012,114.133331
23-10-2012,294.137512,1366.900024,401.172302,349,657.299988,116.183334
25-10-2012,293.09375,1368.849976,401.395172,347.450012,657.674988,116.833336
29-10-2012,291.9375,1362.199951,401.791412,343.899994,654.200012,114.199997
30-10-2012,294.793762,1390.800049,397.853729,341.899994,655.75,112.699997
31-10-2012,295.375,1437.900024,398.96817,347.075012,657.75,112.516663
01-11-2012,295.581238,1459.75,399.760681,350.725006,657.625,112.633331
02-11-2012,298.512512,1465.900024,400.181671,348.475006,665.599976,112.016663
05-11-2012,297.306244,1478.25,399.290131,348.950012,664.799988,113.266663
06-11-2012,297.706238,1451.599976,398.94342,349.200012,660.275024,113.816666
07-11-2012,300.549988,1467.150024,396.665009,350.174988,665.75,113.283333
08-11-2012,296.912506,1459.75,394.559967,348.274994,665.599976,113.050003
09-11-2012,293.587494,1463.400024,390.126984,347.100006,662.474976,112.800003
11-11-2012,null,null,null,null,null,null
12-11-2012,294.868744,1454.099976,389.631683,345.975006,667.25,111.099998
15-11-2012,287.037506,1466.050049,388.616302,342.100006,647.075012,110.23333
16-11-2012,292.918762,1438.099976,383.935669,339.5,643.400024,109.683334
19-11-2012,294.818756,1494.25,383.514679,340.225006,631.174988,109.349998
20-11-2012,290.59375,1499.300049,379.081696,341.549988,636.400024,108.800003
21-11-2012,293.731262,1492.5,381.979218,350.225006,641.099976,109.550003
22-11-2012,297.825012,1493.449951,379.329346,349.600006,638.224976,108.650002
23-11-2012,297.193756,1493.300049,383.242249,352.649994,644.299988,107.150002
26-11-2012,302.174988,1491.849976,383.192719,348.399994,646.849976,105.150002
27-11-2012,308.831238,1497.650024,389.705963,349.975006,647.599976,109.449997
29-11-2012,305.65625,1489.099976,395.401978,354.975006,649.049988,112.199997
30-11-2012,304.606262,1473.849976,393.123596,354.924988,657,115.833336
03-12-2012,304.893738,1489.900024,398.22522,352.524994,658.400024,114.633331
04-12-2012,304.681244,1480.550049,408.478027,351.899994,649.724976,116.566666
05-12-2012,297.8125,1477.349976,412.390961,351.274994,648.950012,119.566666
06-12-2012,292.287506,1482.550049,417.987885,351.575012,640.349976,120.199997
07-12-2012,290.143738,1509.949951,413.381561,349.950012,632.075012,119.400002
10-12-2012,289.193756,1493.400024,410.261139,352.299988,618.599976,118.900002
11-12-2012,286.756256,1477.900024,406.174866,357.799988,609.849976,119.883331
12-12-2012,287.225006,1476,412.390961,362.924988,612.900024,117.949997
13-12-2012,285.443756,1474.150024,413.208191,359.274994,611.275024,117.150002
14-12-2012,284.850006,1477.25,415.684723,359.475006,621.450012,116.98333
17-12-2012,283.28125,1499.650024,413.158661,360.524994,602.75,114.966667
18-12-2012,283.875,1475.349976,411.79657,368.475006,605.325012,116.75
19-12-2012,287.018738,1509.75,415.808563,382.399994,616.325012,119.216667
20-12-2012,287.450012,1520.150024,414.991302,373.5,626.025024,116.633331
21-12-2012,287.106262,1504.900024,408.750458,364.725006,629.349976,114.599998
24-12-2012,290.287506,1478.900024,406.496826,370.424988,633.099976,115.650002
26-12-2012,289.40625,1480.099976,410.236359,376.850006,631.099976,116.25
27-12-2012,285.96875,1482,405.010895,372.75,625.474976,114.683334
28-12-2012,290.399994,1500.400024,416.180023,369.75,633.75,117.433334
31-12-2012,289.837494,1490.050049,415.833313,368.125,627.924988,118.783333
01-01-2013,288.606262,1514.400024,416.402924,369.75,632.075012,118.766663
02-01-2013,288.649994,1557.400024,419.993866,370.450012,631.650024,122.150002
03-01-2013,292.237488,1543.300049,426.333771,366.924988,640.299988,122.083336
04-01-2013,293.693756,1545.449951,426.878632,367.575012,649.599976,124.666664
07-01-2013,296.850006,1584.599976,424.278259,372.075012,647.424988,128.5
08-01-2013,293,1574.849976,421.331207,377.225006,650.125,126.916664
09-01-2013,291.375,1569.599976,422.346588,380.600006,638.299988,128.566666
10-01-2013,290.287506,1572.300049,421.034027,377.125,629.200012,126.949997
11-01-2013,339.012512,1565.25,416.006683,369.625,653.174988,123.583336
14-01-2013,350.8125,1539.099976,419.795746,367.649994,667.25,124.383331
15-01-2013,348.381256,1546,419.597626,365.100006,668.724976,128.399994
16-01-2013,345.931244,1493.199951,426.630951,359.674988,673.875,127.400002
17-01-2013,349.743744,1494.099976,440.821442,358.5,681,132.050003
18-01-2013,348.506256,1547.449951,445.873566,356.024994,675.5,144.983337
21-01-2013,349.537506,1574.599976,455.655823,349.924988,665,146.96666
22-01-2013,347.943756,1570.099976,455.705353,355.350006,658.75,144.600006
23-01-2013,348.700012,1573.699951,457.191284,354.875,655.974976,141.516663
24-01-2013,349.774994,1538.800049,453.476501,355.125,664.275024,138.633331
25-01-2013,351.831238,1599.449951,451.81723,364.350006,670.25,139.983337
28-01-2013,351.331238,1608.150024,444.561005,360.274994,672.525024,138.583328
29-01-2013,349.875,1593.050049,437.280029,355.674988,672.474976,136.5
